time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
435,55.75308770,48.74082780,23,198.40001,0.18135,32,21
1410,55.75308240,48.74088010,15,198.40001,0.27788,33,18
2407,55.75309110,48.74089100,13,198.40001,0.64819,33,18
3415,55.75309730,48.74086060,8,198.40001,2.41812,33,18
4423,55.75309730,48.74086060,8,198.40001,2.41812,33,18
5411,55.75310200,48.74080450,6,198.40001,3.49482,33,18
6452,55.75310840,48.74073490,6,198.40001,3.89665,33,19
7412,55.75312670,48.74058890,6,198.40001,3.95306,33,20
8414,55.75313910,48.74051010,6,198.40001,4.35093,33,20
9439,55.75315380,48.74042360,6,198.40001,4.55562,33,20
10426,55.75316890,48.74033910,6,198.40001,4.95089,33,21
11437,55.75318330,48.74025140,6,198.40001,4.88852,33,21
12459,55.75319770,48.74014240,6,198.40001,5.08457,33,20
13462,55.75321100,48.74004890,6,198.40001,5.17089,33,19
14462,55.75322360,48.73996110,7,198.40001,5.06417,33,18
15528,55.75323760,48.73987400,7,198.40001,4.98130,33,17
16507,55.75325030,48.73975680,7,198.40001,5.11311,33,16
17510,55.75326220,48.73965340,7,198.40001,5.08171,33,16
18512,55.75327120,48.73958420,7,198.40001,4.89854,33,15
19511,55.75327980,48.73952400,7,198.40001,4.80184,33,15
20510,55.75329230,48.73945950,6,198.40001,4.80718,33,15
21517,55.75330280,48.73939130,6,198.40001,4.81132,33,15
22561,55.75331370,48.73931730,6,198.40001,4.82414,33,15
23563,55.75332250,48.73924880,7,198.40001,4.76558,33,14
24613,55.75332770,48.73919710,7,198.40001,4.68326,33,14
25613,55.75332460,48.73914960,7,198.40001,4.59448,33,14
26610,55.75331260,48.73910990,7,198.40001,4.26687,33,14
27613,55.75329850,48.73906830,7,198.40001,3.98221,33,15
28663,55.75326780,48.73905780,7,198.40001,3.40777,33,17
29662,55.75322560,48.73907280,6,198.40001,2.87229,33,19
30664,55.75318420,48.73909860,6,198.40001,2.36944,33,19
31667,55.75314240,48.73914160,6,198.40001,2.05859,20,17
32713,55.75311540,48.73919690,6,198.40001,1.97323,18,15
33713,55.75309250,48.73926150,5,198.40001,2.07113,19,16
34720,55.75307510,48.73933020,5,198.40001,2.20433,20,15
35762,55.75306190,48.73940630,4,198.40001,2.54542,19,13
36766,55.75305170,48.73947970,4,198.40001,2.74006,20,13
37769,55.75304430,48.73955640,4,198.40001,2.95169,19,11
38763,55.75303810,48.73963240,4,198.40001,3.16067,19,10
39766,55.75303310,48.73970390,4,198.40001,3.25276,20,11
40817,55.75302740,48.73977090,4,198.40001,3.31724,20,11
41819,55.75302190,48.73983440,5,198.40001,3.29793,19,10
42868,55.75301750,48.73989200,5,198.40001,3.31321,18,11
43863,55.75301240,48.73995230,5,198.40001,3.38949,20,13
44866,55.75300560,48.74001700,5,198.40001,3.56983,18,11
45922,55.75299840,48.74008080,5,198.40001,3.67652,20,13
46913,55.75299070,48.74014240,5,198.40001,3.70879,19,12
47923,55.75298330,48.74019830,5,198.40001,3.73147,19,12
48966,55.75297540,48.74025500,5,198.40001,3.76348,17,9
50011,55.75296800,48.74031100,5,198.40001,3.78163,20,12
51059,55.75296060,48.74036690,5,198.40001,3.76885,20,12
52065,55.75295450,48.74042130,6,198.40001,3.74646,18,10
53069,55.75295070,48.74048020,6,198.40001,3.78769,20,12
54060,55.75295830,48.74052980,6,198.40001,3.64326,16,11
55068,55.75297980,48.74056460,6,198.40001,3.35339,19,13
56119,55.75300850,48.74058850,6,198.40001,3.08740,19,14
57127,55.75304210,48.74060390,6,198.40001,2.90893,19,14
58116,55.75307630,48.74061510,6,198.40001,2.82835,19,15
59119,55.75310510,48.74061540,5,195.07465,2.21798,19,14
60164,55.75312500,48.74061540,5,194.18805,1.83996,19,13
61166,55.75313960,48.74061320,5,194.33759,1.52855,17,13
